Year,AggAssaultRate
1960,          86.1
1961,          85.7
1962,          88.6
1963,          92.4
1964,         106.2
1965,         111.3
1966,         120.3
1967,         130.2
1968,         143.8
1969,         154.5
1970,         164.8
1971,         178.8
1972,         188.8
1973,         200.5
1974,         215.8
1975,         231.1
1976,         233.2
1977,         247.0
1978,         262.1
1979,         286.0
1980,         298.5
1981,         289.3
1982,         289.0
1983,         279.4
1984,         290.6
1985,         304.0
1986,         347.4
1987,         352.9
1988,         372.2
1989,         385.6
1990,         422.9
1991,         433.4
1992,         441.9
1993,         440.5
1994,         427.6
1995,         418.3
1996,         391.0
1997,         382.1
1998,         361.4
1999,         334.3
2000,         324.0
2001,         318.6
2002,         309.5
2003,         295.4
2004,         288.6
2005,         290.8
2006,         292.0
2007,         287.2
2008,         277.5
2009,         264.7
2010,         252.8
2011,         241.5
2012,         242.8
2013,         229.6
2014,         232.5
