Year,RobberyRate
1960,          60.1
1961,          58.3
1962,          59.7
1963,          61.8
1964,          68.2
1965,          71.7
1966,          80.8
1967,         102.8
1968,         131.8
1969,         148.4
1970,         172.1
1971,         188.0
1972,         180.7
1973,         183.1
1974,         209.3
1975,         220.8
1976,         199.3
1977,         190.7
1978,         195.8
1979,         218.4
1980,         251.1
1981,         258.4
1982,         238.8
1983,         216.7
1984,         205.7
1985,         209.3
1986,         226.0
1987,         213.7
1988,         222.1
1989,         234.3
1990,         256.3
1991,         272.7
1992,         263.7
1993,         256.0
1994,         237.8
1995,         220.9
1996,         201.9
1997,         186.2
1998,         165.5
1999,         150.1
2000,         145.0
2001,         148.5
2002,         146.1
2003,         142.5
2004,         136.7
2005,         140.8
2006,         150.0
2007,         148.3
2008,         145.9
2009,         133.1
2010,         119.3
2011,         113.9
2012,         113.1
2013,         109.0
2014,         102.2
